lagoslakeid,HU4,lon,lat,random25_holdout,random75_holdout,hu4_ag50_holdout,hu4_strat75_holdout,hu4_random50_holdout,cluster_strat75_holdout,cluster_random50_holdout,tp,tn,chal,secchi,maxdepth_m,IWS_lk_ratio,iws_nlcd2006_for,lake_sdf,lakeconn_v2_1,lakeconn_v2_2,iws_sdf,iws_streamdensity_streams_density_mperha,elevation_m,wlconnections_allwetlands_shoreline%,roaddensity_mperha,baseflow_mean,runoff_mean,totalNdep_19902010_diff,hu4_nlcd2006_agr,totalNdep_1990_mean,prism_ppt_mean,prism_tmean_mean
8193,8,-70.475215,43.953569,1,1,0,1,0,1,0,15,NA,2.2,4.3,11.2776,17.72327505,91.63,1.408457234,1,0,1.731898903,10.2472,101.9219971,NA,0.3013,53.7978,25.0599,2.2899,4.7385,5.1076,1215.8701,7.2854
8194,3,-67.559613,45.551895,0,0,0,1,1,1,0,13,NA,2.5,6.5,18.288,7.343701343,89.34,2.083270558,1,0,2.911057919,4.3645,126.923996,10.7232352,13.6271,53.6855,26.4695,1.9867,2.0899,4.5072,1195.1956,6.6209
8195,3,-69.487841,44.023951,0,1,0,1,1,0,1,27,551,25,1.79,3.3528,2.950471542,77.27,2.089363288,0,0,2.769569194,0.0375,34.84000015,6.1180627,22.1084,53.6855,26.4695,1.9867,2.0899,4.5072,1195.1956,6.6209
8196,1,-68.498699,47.058615,0,1,0,1,1,1,0,13,NA,3.2,4.2,41.4528,10.31010515,83.72,3.343149311,0,1,2.771295507,5.7355,174.8419952,56.4427604,10.1493,51.5325,22.633,1.9828,5.7136,3.7653,1058.3433,3.6599
8197,3,-68.49477,44.737774,0,1,0,1,1,1,0,5,NA,2.2,7.3,44.8056,4.37933492,84.71,2.482857185,0,1,3.389760837,5.6973,90.61000061,14.1128688,2.6555,53.6855,26.4695,1.9867,2.0899,4.5072,1195.1956,6.6209
8199,4,-69.958978,44.189924,0,1,0,1,0,1,0,8,275,3.1,5.85,24.9936,4.804772369,75.86,4.151858014,0,1,3.780648931,6.216,53.39399719,27.6238707,43.2549,47.7583,25.2737,2.4415,3.9567,4.5334,1146.4893,5.0186
8201,6,-70.601594,44.888646,0,1,0,0,1,0,0,7,221,5.7,4.5,15.8496,12.36003438,93.18,1.882635575,1,0,2.078102819,9.0727,526.8880005,9.4872097,10.9234,49.9942,26.9537,2.6657,2.9295,5.1774,1218.6781,5.0378
8202,8,-70.667599,43.753111,1,1,0,1,0,0,0,15,NA,10,1.4,10.3632,16.34246465,58.94,1.653534357,1,0,1.998707406,7.7398,70.52199554,2.7356472,20.4255,53.7978,25.0599,2.2899,4.7385,5.1076,1215.8701,7.2854
8203,2,-68.724396,44.665642,0,0,0,1,0,1,0,NA,NA,NA,NA,7.62,11.42235997,88.98,1.734018279,1,0,1.952519811,8.61,68.69200134,4.4371335,14.9768,50.2865,26.0229,2.2685,1.7945,4.2741,1130.3441,4.9599
8204,2,-69.525992,45.850651,1,0,0,1,0,1,0,5,204,2.3,5.85,32.3088,5.983848477,79.53,3.555081828,0,1,3.39910765,5.4732,293.6779785,46.6348748,4.784,50.2865,26.0229,2.2685,1.7945,4.2741,1130.3441,4.9599
8205,4,-69.654862,44.410071,0,1,0,1,0,1,0,14,474,12,1.8,12.4968,4.094262434,71.24,1.882772497,0,1,2.693272066,19.112,36.38599777,14.9115724,26.9181,47.7583,25.2737,2.4415,3.9567,4.5334,1146.4893,5.0186
8206,4,-69.985676,44.42106,0,0,0,1,0,1,0,8,310,2.9,5.74,13.716,5.720066675,84.05,4.203082465,1,0,3.499203174,2.1352,80.02700043,24.7086313,26.3362,47.7583,25.2737,2.4415,3.9567,4.5334,1146.4893,5.0186
8207,4,-69.560323,44.533813,1,1,0,1,0,1,0,12,287,5.5,5.1,8.2296,15.36675498,77.9,1.970132841,0,1,2.378959044,25.8121,42.77199936,10.1637139,16.8015,47.7583,25.2737,2.4415,3.9567,4.5334,1146.4893,5.0186
8208,4,-70.093624,45.310119,0,1,0,1,0,1,0,NA,NA,NA,5.31,10.3632,6.782325212,75.98,1.898450066,0,1,2.026000975,2.4084,353.7120056,3.5292554,6.9146,47.7583,25.2737,2.4415,3.9567,4.5334,1146.4893,5.0186
8209,2,-69.515185,45.447992,1,1,0,1,0,1,1,9,NA,5.1,3.4,10.3632,9.940181362,74.03,1.412526526,0,0,2.01284104,0.0011,387.5340576,1.10829,22.3934,50.2865,26.0229,2.2685,1.7945,4.2741,1130.3441,4.9599
8210,6,-70.458393,44.101584,0,1,0,1,1,0,1,4,NA,3.6,5.57,8.5344,3.765466693,86.71,1.472438594,0,0,2.013534826,0,93.39800262,NA,51.4559,49.9942,26.9537,2.6657,2.9295,5.1774,1218.6781,5.0378
8211,6,-69.974965,44.57288,0,1,0,1,1,1,0,15,445,10,3.15,3.6576,25.69758264,66.87,1.266103643,1,0,1.455088875,32.1524,269.5950012,1.0446918,0,49.9942,26.9537,2.6657,2.9295,5.1774,1218.6781,5.0378
8212,4,-70.17808,45.477753,1,0,0,1,0,1,0,14,366,4.2,3.45,12.4968,11.34798193,71.97,1.366813701,1,0,1.764705104,3.2493,586.5762939,3.9909261,25.5763,47.7583,25.2737,2.4415,3.9567,4.5334,1146.4893,5.0186
